# direction, average_speed, probability
0.000000000000000000e+00 7.499416497601736786e+00 2.315980263820360471e-02
1.000000000000000000e+01 6.999225232452624290e+00 2.104521196254153723e-02
2.000000000000000000e+01 7.052907645577233708e+00 2.138757426241063436e-02
3.000000000000000000e+01 6.623655840566808450e+00 1.929312254556439510e-02
4.000000000000000000e+01 7.247357099803432234e+00 2.120632363306816995e-02
5.000000000000000000e+01 8.357038100074799303e+00 2.908065653005739715e-02
6.000000000000000000e+01 8.313344782984835035e+00 3.190011076427348713e-02
7.000000000000000000e+01 8.218517056408893851e+00 3.580706877454435666e-02
8.000000000000000000e+01 7.164467512306381458e+00 2.491189205518074684e-02
9.000000000000000000e+01 6.924103854520025081e+00 2.614036854294633089e-02
1.000000000000000000e+02 6.333749063787608158e+00 3.508206625717450594e-02
1.100000000000000000e+02 5.560405589184211017e+00 1.454032826502869857e-02
1.200000000000000000e+02 0.000000000000000000e+00 2.013895881582922239e-05
1.300000000000000000e+02 6.493047470333334736e+00 1.933340046319605241e-03
1.400000000000000000e+02 6.842316733058123823e+00 1.351324136542140716e-02
1.500000000000000000e+02 8.313884863747754039e+00 2.251535595609707036e-02
1.600000000000000000e+02 9.534010182565362257e+00 3.220219514651092435e-02
1.700000000000000000e+02 9.118187860638792941e+00 2.720773336018527874e-02
1.800000000000000000e+02 8.785267168891691014e+00 1.989729131003926954e-02
1.900000000000000000e+02 9.326077730111688169e+00 2.271674554425536299e-02
2.000000000000000000e+02 1.084962089502612592e+01 3.157788742322022169e-02
2.100000000000000000e+02 1.078877995246001831e+01 4.005638908468431986e-02
2.200000000000000000e+02 1.114302007556328533e+01 5.727519887221830391e-02
2.300000000000000000e+02 1.026727986568437068e+01 5.270365522102507527e-02
2.400000000000000000e+02 9.074714839838657454e+00 4.156681099587151290e-02
2.500000000000000000e+02 8.670293516905765330e+00 3.461887020441042906e-02
2.600000000000000000e+02 8.356768579999988233e+00 3.675359983888833171e-02
2.700000000000000000e+02 7.793288311446058714e+00 3.453831436914711617e-02
2.800000000000000000e+02 7.801564097176478363e+00 2.910079548887322537e-02
2.900000000000000000e+02 8.508780085437349427e+00 3.149733158795690185e-02
3.000000000000000000e+02 8.269658509407692648e+00 3.250427952874836157e-02
3.100000000000000000e+02 8.406121476586587704e+00 3.244386265230087690e-02
3.200000000000000000e+02 8.667875012014480518e+00 2.783204108347598488e-02
3.300000000000000000e+02 8.364324942099305105e+00 2.900010069479408079e-02
3.400000000000000000e+02 8.135435109614133964e+00 2.251535595609707036e-02
3.500000000000000000e+02 7.531203360050222173e+00 2.245493907964958222e-02
