# direction, speed
2.415483572420000087e+02 6.038755209999999707e+00
2.376712499999999864e+02 6.149574990999999713e+00
2.395158333329999891e+02 6.021570831000000013e+00
2.300454166670000120e+02 5.950650001999999716e+00
2.253904166670000109e+02 6.146216665999999940e+00
2.252379166670000075e+02 5.476716663000000374e+00
2.320612500000000011e+02 5.724862502999999769e+00
2.303750000000000000e+02 5.663200004000000121e+00
2.259320833330000085e+02 5.822399997999999854e+00
2.304491666669999859e+02 5.899916668000000364e+00
2.331875000000000000e+02 5.894716662000000440e+00
2.371429166670000086e+02 6.253895830000000267e+00
2.452558333329999982e+02 6.443604170000000408e+00
2.460437499999999886e+02 5.858133339000000106e+00
2.466037499999999909e+02 5.688087505999999571e+00
2.494079166669999950e+02 5.743437497000000391e+00
2.431949999999999932e+02 5.289283331000000032e+00
2.459329166670000006e+02 5.335708335999999719e+00
2.454820833329999914e+02 5.568224996999999732e+00
2.418470833330000005e+02 5.380774998999999781e+00
2.435733333329999937e+02 5.713737495000000166e+00
2.424895833330000130e+02 5.387683337000000350e+00
2.393612500000000125e+02 5.212833330999999681e+00
2.437037500000000136e+02 5.429054171999999845e+00
2.443166666669999927e+02 4.559908336000000340e+00
2.454466666669999881e+02 4.992383334000000339e+00
2.468162499999999966e+02 5.037858332999999966e+00
2.415550000000000068e+02 4.652116669999999843e+00
2.444629166670000018e+02 5.252683332000000149e+00
2.499174999999999898e+02 5.439762500999999695e+00
2.513895833329999903e+02 4.960149999000000420e+00
2.535987499999999955e+02 5.222712501000000174e+00
2.545966666669999938e+02 5.208179168000000026e+00
2.530729166669999870e+02 5.082566671000000369e+00
2.531729166670000097e+02 4.913937495999999960e+00
2.525133333329999914e+02 5.675020838000000012e+00
2.615812500000000114e+02 6.019995831000000130e+00
2.701858333330000050e+02 6.623662502000000174e+00
2.707645833330000187e+02 7.894741677999999929e+00
2.690579166669999722e+02 7.858804175000000392e+00
2.701841666669999995e+02 8.283608332000000019e+00
2.722191666670000245e+02 9.087287488999999496e+00
2.769541666669999813e+02 9.360529150999999715e+00
2.831920833330000278e+02 9.209037496000000544e+00
2.875633333330000028e+02 9.082362491999999676e+00
2.909037500000000023e+02 9.443441660999999598e+00
2.892545833330000278e+02 9.210133335000000088e+00
2.873966666669999768e+02 9.867420836999999167e+00
2.856000000000000227e+02 1.040579166000000022e+01
2.874787499999999909e+02 1.062677500200000047e+01
2.897437499999999773e+02 1.000895833599999918e+01
2.904674999999999727e+02 9.661262499999999420e+00
2.829283333330000119e+02 1.014928333499999979e+01
2.815987499999999955e+02 9.584737502999999492e+00
2.788774999999999977e+02 8.769108338000000558e+00
2.812475000000000023e+02 8.730520853999999886e+00
2.801533333329999778e+02 8.720833338000000268e+00
2.766487500000000068e+02 8.678029183999999674e+00
2.783379166670000018e+02 8.479287507000000446e+00
2.782791666670000268e+02 7.949979176000000258e+00
2.775004166670000245e+02 8.759829182000000714e+00
2.742308333330000210e+02 8.808529165999999577e+00
2.690779166670000109e+02 9.103316679000000633e+00
2.650858333329999823e+02 9.420462511000000205e+00
2.629958333330000073e+02 9.392675000000000551e+00
